delivery_id,order_id,delivery_partner_id,delivery_distance_km,delivery_time_minutes,delay_flag,delay_time_bucket,delivery_status
6001,2001,732,19,56,Late,40+,Delivered
6002,2002,713,16,45,Late,40+,Delivered
6003,2003,794,7,41,Late,40+,Delivered
6004,2004,727,10,45,Late,40+,Delivered
6005,2005,745,20,70,Late,40+,Delivered
6006,2006,744,4,31,On Time,31-40,Delivered
6007,2007,732,14,45,Late,40+,Delivered
6008,2008,786,19,65,Late,40+,Delivered
6009,2009,756,20,40,On Time,31-40,Delivered
6010,2010,788,14,54,Late,40+,Delivered
6011,2011,751,4,55,Late,40+,Delivered
6012,2012,701,7,45,Late,40+,Delivered
6013,2013,725,13,28,On Time,21-30,Delivered
6014,2014,719,6,63,Late,40+,Delivered
6015,2015,775,12,52,Late,40+,Delivered
6016,2016,712,7,55,Late,40+,Delivered
6017,2017,755,4,29,On Time,21-30,Delivered
6018,2018,731,12,29,On Time,21-30,Delivered
6019,2019,730,20,20,On Time,0-20,Delivered
6020,2020,788,4,40,On Time,31-40,Delivered
6021,2021,749,17,58,Late,40+,Delivered
6022,2022,720,15,48,Late,40+,Delivered
6023,2023,759,14,59,Late,40+,Delivered
6024,2024,717,7,25,On Time,21-30,Delivered
6025,2025,793,5,53,Late,40+,Delivered
6026,2026,770,9,38,On Time,31-40,Delivered
6027,2027,732,18,35,On Time,31-40,Delivered
6028,2028,780,17,35,On Time,31-40,Delivered
6029,2029,772,5,31,On Time,31-40,Delivered
6030,2030,723,13,54,Late,40+,Delivered
6031,2031,799,19,31,On Time,31-40,Delivered
6032,2032,780,19,34,On Time,31-40,Delivered
6033,2033,762,5,22,On Time,21-30,Delivered
6034,2034,760,15,45,Late,40+,Delivered
6035,2035,773,12,41,Late,40+,Delivered
6036,2036,799,18,27,On Time,21-30,Delivered
6037,2037,775,19,45,Late,40+,Delivered
6038,2038,730,13,42,Late,40+,Delivered
6039,2039,705,7,45,Late,40+,Delivered
6040,2040,730,18,66,Late,40+,Delivered
6041,2041,727,20,57,Late,40+,Delivered
6042,2042,747,11,30,On Time,21-30,Delivered
6043,2043,784,6,31,On Time,31-40,Delivered
6044,2044,799,1,30,On Time,21-30,Delivered
6045,2045,724,19,62,Late,40+,Delivered
6046,2046,740,4,47,Late,40+,Delivered
6047,2047,768,6,31,On Time,31-40,Delivered
6048,2048,745,18,51,Late,40+,Delivered
6049,2049,743,14,65,Late,40+,Delivered
6050,2050,794,6,49,Late,40+,Delivered
6051,2051,708,19,31,On Time,31-40,Delivered
6052,2052,701,2,23,On Time,21-30,Delivered
6053,2053,748,15,45,Late,40+,Delivered
6054,2054,794,11,64,Late,40+,Delivered
6055,2055,763,10,27,On Time,21-30,Delivered
6056,2056,737,19,35,On Time,31-40,Delivered
6057,2057,760,2,58,Late,40+,Delivered
6058,2058,718,18,45,Late,40+,Delivered
6059,2059,754,6,48,Late,40+,Delivered
6060,2060,792,7,68,Late,40+,Delivered
6061,2061,710,3,54,Late,40+,Delivered
6062,2062,783,17,47,Late,40+,Delivered
6063,2063,750,10,30,On Time,21-30,Delivered
6064,2064,728,16,39,On Time,31-40,Delivered
6065,2065,797,16,65,Late,40+,Delivered
6066,2066,717,19,33,On Time,31-40,Delivered
6067,2067,703,15,63,Late,40+,Delivered
6068,2068,716,4,25,On Time,21-30,Delivered
6069,2069,787,6,47,Late,40+,Delivered
6070,2070,751,19,46,Late,40+,Delivered
6071,2071,701,13,70,Late,40+,Delivered
6072,2072,702,2,57,Late,40+,Delivered
6073,2073,741,15,45,Late,40+,Delivered
6074,2074,748,9,59,Late,40+,Delivered
6075,2075,790,19,35,On Time,31-40,Delivered
6076,2076,743,6,45,Late,40+,Delivered
6077,2077,718,15,26,On Time,21-30,Delivered
6078,2078,704,6,37,On Time,31-40,Delivered
6079,2079,785,14,48,Late,40+,Delivered
6080,2080,737,2,53,Late,40+,Delivered
6081,2081,783,2,60,Late,40+,Delivered
6082,2082,800,13,60,Late,40+,Delivered
6083,2083,765,4,33,On Time,31-40,Delivered
6084,2084,793,2,38,On Time,31-40,Delivered
6085,2085,711,4,20,On Time,0-20,Delivered
6086,2086,702,19,32,On Time,31-40,Delivered
6087,2087,714,6,29,On Time,21-30,Delivered
6088,2088,786,18,50,Late,40+,Delivered
6089,2089,705,2,32,On Time,31-40,Delivered
6090,2090,778,14,45,Late,40+,Delivered
6091,2091,729,16,21,On Time,21-30,Delivered
6092,2092,766,13,45,Late,40+,Delivered
6093,2093,705,19,46,Late,40+,Delivered
6094,2094,788,9,40,On Time,31-40,Delivered
6095,2095,781,1,66,Late,40+,Delivered
6096,2096,711,6,45,Late,40+,Delivered
6097,2097,723,19,64,Late,40+,Delivered
6098,2098,721,6,38,On Time,31-40,Delivered
6099,2099,758,3,45,Late,40+,Delivered
