order_item_id,order_id,item_id,quantity,item_price,item_total,net_sales,discount_flag,discount_amount
1,2239,494,3,275,825,778,Discount,47
2,2569,449,3,311,933,907,Discount,26
3,3285,401,3,397,1191,1129,Discount,62
4,3357,429,1,404,404,345,Discount,59
5,3092,466,4,481,1924,1924,Discount,0
6,2234,416,4,470,1880,1806,Discount,74
7,3314,428,1,410,410,394,Discount,16
8,2592,438,3,150,450,420,Discount,30
9,2292,425,2,210,420,340,Discount,80
10,2729,406,2,297,594,588,Discount,6
11,2743,454,4,128,512,446,Discount,66
12,3422,411,4,407,1628,1552,Discount,76
13,3386,430,3,144,432,393,Discount,39
14,3184,493,1,167,167,89,Discount,78
15,3342,489,2,384,768,708,Discount,60
16,2260,416,4,189,756,676,Discount,80
17,2634,462,4,458,1832,1764,Discount,68
18,2993,450,4,178,712,687,Discount,25
19,3058,481,3,339,1017,1002,Discount,15
20,2737,405,3,283,849,826,Discount,23
21,2162,450,4,378,1512,1474,Discount,38
22,2514,453,2,389,778,767,Discount,11
23,3403,489,1,309,309,285,Discount,24
24,3218,408,1,480,480,442,Discount,38
25,3491,432,3,131,393,345,Discount,48
26,2009,432,2,266,532,468,Discount,64
27,2802,442,4,266,1064,991,Discount,73
28,3135,415,3,367,1101,1081,Discount,20
29,3184,439,1,246,246,174,Discount,72
30,3239,404,1,249,249,182,Discount,67
31,2340,459,2,106,212,166,Discount,46
32,2235,405,3,311,933,923,Discount,10
33,3492,460,3,200,600,544,Discount,56
34,3187,402,3,224,672,648,Discount,24
35,3224,411,2,377,754,746,Discount,8
36,2110,492,4,328,1312,1254,Discount,58
37,2377,432,1,232,232,228,Discount,4
38,2131,426,1,225,225,192,Discount,33
39,3187,408,1,494,494,431,Discount,63
40,2400,472,2,291,582,541,Discount,41
41,2326,425,1,237,237,158,Discount,79
42,3375,484,2,184,368,313,Discount,55
43,2541,460,2,404,808,740,Discount,68
44,3217,478,1,304,304,269,Discount,35
45,3428,460,3,293,879,820,Discount,59
46,2410,496,4,222,888,841,Discount,47
47,2173,481,2,246,492,419,Discount,73
48,2631,431,3,144,432,404,Discount,28
49,2056,467,1,257,257,236,Discount,21
50,2507,477,4,123,492,492,Discount,0
51,2719,468,1,461,461,383,Discount,78
52,2680,485,2,172,344,277,Discount,67
53,3410,486,1,186,186,119,Discount,67
54,3147,431,3,201,603,586,Discount,17
55,3142,441,4,214,856,805,Discount,51
56,2898,434,4,179,716,646,Discount,70
57,2338,491,2,366,732,658,Discount,74
58,2300,416,1,116,116,105,Discount,11
59,2430,410,1,222,222,185,Discount,37
60,2991,467,1,426,426,385,Discount,41
61,2431,482,2,154,308,275,Discount,33
62,2894,405,4,317,1268,1204,Discount,64
63,2233,437,3,307,921,899,Discount,22
64,2622,495,4,236,944,932,Discount,12
65,2887,441,4,440,1760,1741,Discount,19
66,2095,401,1,371,371,371,Discount,0
67,3452,407,1,398,398,328,Discount,70
68,2061,500,2,271,542,542,Discount,0
69,3464,487,4,407,1628,1548,Discount,80
70,2908,451,2,356,712,691,Discount,21
71,2600,454,2,461,922,842,Discount,80
72,3212,444,3,182,546,480,Discount,66
73,3275,414,1,127,127,65,Discount,62
74,2866,470,4,200,800,800,Discount,0
75,3184,488,3,257,771,759,Discount,12
76,2691,493,1,249,249,206,Discount,43
77,3000,480,3,109,327,253,Discount,74
78,2013,439,1,344,344,344,Discount,0
79,3052,452,1,372,372,334,Discount,38
80,2734,486,1,253,253,219,Discount,34
81,2895,435,4,311,1244,1200,Discount,44
82,2380,439,3,214,642,603,Discount,39
83,2826,432,1,127,127,94,Discount,33
84,3257,494,4,246,984,926,Discount,58
