order_id,customer_id,restaurant_id,order_date,order_time,order_status,Order_day,order_hour,delivery_time_minutes,total_amount
2001,1336,335,2023-03-17,22:15,Cancelled,Friday,22,30,392
2002,1558,394,2023-04-29,17:30,Cancelled,Saturday,17,45,343
2003,2336,318,2023-08-25,15:30,Delivered,Friday,15,65,1910
2004,1756,367,2023-09-21,21:30,Delivered,Thursday,21,54,471
2005,1143,349,2023-06-28,18:45,Delivered,Wednesday,18,45,1208
2006,1909,337,2023-08-05,10:30,Delivered,Saturday,10,58,1021
2007,2179,320,2023-02-09,20:00,Cancelled,Thursday,20,55,1367
2008,1382,315,2023-12-02,18:15,Delivered,Saturday,18,70,398
2009,1112,364,2023-07-17,11:00,Cancelled,Monday,11,57,1970
2010,1855,334,2023-11-21,11:15,Cancelled,Tuesday,11,54,1566
2011,1117,392,2023-09-02,21:00,Delivered,Saturday,21,61,1424
2012,2248,331,2023-05-19,18:15,Delivered,Friday,18,50,250
2013,1572,394,2023-03-26,15:30,Cancelled,Sunday,15,45,1081
2014,1342,303,2023-06-30,19:00,Delivered,Friday,19,37,1511
2015,1732,328,2023-09-26,19:45,Delivered,Tuesday,19,51,1921
2016,1221,388,2023-09-26,11:00,Cancelled,Tuesday,11,68,1774
2017,2233,315,2023-07-07,12:00,Delivered,Friday,12,45,1492
2018,1989,306,2023-05-21,16:30,Delivered,Sunday,16,32,345
2019,2020,384,2023-11-02,12:30,Cancelled,Thursday,12,51,1878
2020,2478,339,2023-10-25,12:00,Delivered,Wednesday,12,53,680
2021,2048,362,2023-12-22,16:15,Cancelled,Friday,16,66,594
2022,2024,333,2023-12-27,10:00,Cancelled,Wednesday,10,45,292
2023,2235,375,2023-05-16,20:00,Cancelled,Tuesday,20,66,1407
2024,1851,350,2023-02-04,21:15,Delivered,Saturday,21,55,1347
2025,2022,363,2023-09-26,20:30,Delivered,Tuesday,20,45,833
2026,2189,364,2023-06-16,18:45,Delivered,Friday,18,36,1958
2027,2491,318,2023-01-17,16:00,Delivered,Tuesday,16,32,1781
2028,2174,350,2023-06-07,22:15,Delivered,Wednesday,22,26,1641
2029,1496,383,2023-08-25,22:30,Delivered,Friday,22,52,1386
2030,1548,358,2023-02-10,18:15,Cancelled,Friday,18,48,1212
2031,2276,378,2023-11-06,18:30,Delivered,Monday,18,50,1547
2032,2353,393,2023-01-24,11:30,Cancelled,Tuesday,11,36,665
2033,1223,308,2023-01-24,17:00,Cancelled,Tuesday,17,66,480
2034,1235,383,2023-02-20,21:00,Cancelled,Monday,21,40,983
2035,1419,332,2023-02-07,14:15,Delivered,Tuesday,14,68,1917
2036,2235,357,2023-11-24,13:30,Delivered,Friday,13,23,374
2037,1471,372,2023-12-11,20:45,Delivered,Monday,20,20,443
2038,1668,347,2023-12-11,22:15,Cancelled,Monday,22,66,525
2039,2470,310,2023-10-10,22:15,Delivered,Tuesday,22,52,1472
2040,2460,364,2023-03-25,10:30,Delivered,Saturday,10,30,664
2041,2066,345,2023-02-18,10:30,Delivered,Saturday,10,65,1998
2042,2165,327,2023-02-16,10:45,Delivered,Thursday,10,65,405
2043,1401,324,2023-11-07,17:15,Delivered,Tuesday,17,66,1225
2044,2113,360,2023-08-17,13:30,Delivered,Thursday,13,68,1423
2045,2018,317,2023-10-16,16:30,Cancelled,Monday,16,65,309
2046,1502,387,2023-06-08,18:00,Delivered,Thursday,18,25,1648
2047,1129,301,2023-09-18,10:00,Delivered,Monday,10,68,1811
2048,1791,342,2023-09-18,16:45,Delivered,Monday,16,52,1928
2049,2042,378,2023-11-29,22:15,Delivered,Wednesday,22,48,1702
2050,2232,380,2023-11-29,16:30,Cancelled,Wednesday,16,28,1564
2051,1932,381,2023-12-05,13:00,Delivered,Tuesday,13,45,872
2052,1850,329,2023-11-07,11:00,Delivered,Tuesday,11,34,1319
2053,1798,356,2023-09-23,13:15,Delivered,Saturday,13,26,1388
2054,2365,341,2023-10-08,20:45,Delivered,Sunday,20,20,1634
2055,2454,314,2023-05-02,22:00,Delivered,Tuesday,22,30,1027
2056,1414,370,2023-05-25,11:30,Delivered,Thursday,11,45,657
2057,1609,358,2023-04-18,22:00,Delivered,Tuesday,22,40,1611
2058,1049,317,2023-04-18,12:30,Delivered,Tuesday,12,56,1208
2059,2120,335,2023-01-21,22:00,Delivered,Saturday,22,24,1022
2060,2125,329,2023-11-25,17:00,Delivered,Saturday,17,27,284
2061,1833,375,2023-07-21,11:30,Delivered,Friday,11,36,1920
2062,1760,387,2023-07-21,11:30,Delivered,Friday,11,28,1296
2063,1146,357,2023-03-15,22:00,Cancelled,Wednesday,22,55,467
2064,1260,329,2023-03-15,12:15,Delivered,Wednesday,12,30,760
2065,2029,379,2023-03-05,12:00,Cancelled,Sunday,12,40,739
2066,1978,340,2023-05-10,12:45,Cancelled,Wednesday,12,27,666
2067,1325,328,2023-06-06,18:30,Delivered,Tuesday,18,53,1174
2068,2293,336,2023-03-26,14:30,Delivered,Sunday,14,25,995
2069,1697,343,2023-03-26,12:00,Delivered,Sunday,12,29,1295
2070,1860,357,2023-02-03,19:45,Delivered,Friday,19,31,764
2071,1795,349,2023-09-30,12:15,Delivered,Saturday,12,36,493
2072,1226,351,2023-01-27,21:15,Delivered,Friday,21,45,479
2073,1579,304,2023-12-23,20:15,Cancelled,Saturday,20,67,1831
2074,1632,346,2023-04-13,22:30,Cancelled,Thursday,22,40,756
2075,2193,323,2023-03-01,11:00,Delivered,Wednesday,11,48,889
2076,1284,342,2023-09-04,22:30,Delivered,Monday,22,21,1018
2077,1448,307,2023-02-12,21:30,Cancelled,Sunday,21,70,514
2078,2005,354,2023-12-01,10:30,Delivered,Friday,10,57,604
2079,1292,318,2023-01-28,18:30,Delivered,Saturday,18,65,517
2080,1816,371,2023-01-01,14:15,Delivered,Sunday,14,34,335
2081,1241,369,2023-04-22,16:15,Delivered,Saturday,16,21,1542
2082,1314,335,2023-05-17,22:30,Cancelled,Wednesday,22,33,837
2083,2274,392,2023-04-13,10:15,Delivered,Thursday,10,66,896
2084,1306,391,2023-07-27,12:00,Cancelled,Thursday,12,47,1516
2085,1676,373,2023-02-14,13:15,Delivered,Tuesday,13,69,506
2086,1575,383,2023-09-13,11:30,Cancelled,Wednesday,11,25,1010
2087,2125,353,2023-09-13,10:00,Delivered,Wednesday,10,62,1392
2088,1489,399,2023-05-17,20:15,Delivered,Wednesday,20,44,343
2089,2180,362,2023-05-17,15:45,Delivered,Wednesday,15,32,1042
2090,2325,303,2023-02-24,13:15,Cancelled,Friday,13,45,536
2091,2319,354,2023-03-17,11:30,Delivered,Friday,11,26,1482
2092,2159,348,2023-12-30,22:45,Delivered,Saturday,22,56,459
2093,1695,362,2023-08-13,20:15,Delivered,Sunday,20,68,1654
2094,1874,355,2023-05-16,13:45,Delivered,Tuesday,13,34,796
2095,1026,400,2023-01-16,14:00,Delivered,Monday,14,41,1500
2096,1845,342,2023-10-24,16:30,Cancelled,Tuesday,16,45,818
2097,2002,335,2023-06-20,20:15,Delivered,Tuesday,20,29,1397
