payment_id,order_id,payment_method,payment_status,payment_date,amount_paid
5001,2001,CASH,Success,09-06-2023,589
5002,2002,UPI,Failed,15-10-2023,1754
5003,2003,CARD,Failed,26-10-2023,1157
5004,2004,UPI,Success,22-01-2023,1234
5005,2005,CARD,Failed,22-01-2023,204
5006,2006,CASH,Success,06-10-2023,1753
5007,2007,CASH,Success,25-08-2023,983
5008,2008,CASH,Failed,14-12-2023,1931
5009,2009,UPI,Success,29-12-2023,960
5010,2010,CASH,Failed,22-01-2023,1502
5011,2011,CASH,Success,22-01-2023,1699
5012,2012,UPI,Success,07-10-2023,966
5013,2013,CASH,Failed,12-09-2023,1715
5014,2014,CARD,Success,20-02-2023,1788
5015,2015,CARD,Success,02-07-2023,1816
5016,2016,UPI,Success,05-09-2023,1082
5017,2017,CARD,Success,20-05-2023,1427
5018,2018,UPI,Success,09-06-2023,1123
5019,2019,CASH,Success,14-07-2023,1469
5020,2020,CARD,Success,25-02-2023,287
5021,2021,UPI,Success,22-01-2023,895
5022,2022,CARD,Success,11-05-2023,552
5023,2023,UPI,Failed,10-08-2023,781
5024,2024,CASH,Success,04-03-2023,880
5025,2025,CASH,Success,02-12-2023,1091
5026,2026,CASH,Success,21-04-2023,381
5027,2027,CASH,Failed,22-01-2023,1577
5028,2028,CARD,Failed,12-10-2023,275
5029,2029,CASH,Success,06-01-2023,1711
5030,2030,CARD,Success,22-01-2023,1686
5031,2031,UPI,Success,30-08-2023,273
5032,2032,UPI,Failed,12-06-2023,480
5033,2033,CASH,Success,13-02-2023,1394
5034,2034,CASH,Success,04-07-2023,577
5035,2035,CARD,Success,13-02-2023,1634
5036,2036,CASH,Success,12-06-2023,1411
5037,2037,CASH,Failed,22-01-2023,746
5038,2038,CASH,Success,25-12-2023,1898
5039,2039,UPI,Success,23-04-2023,1934
5040,2040,CARD,Success,02-10-2023,225
5041,2041,CARD,Success,18-05-2023,445
5042,2042,CARD,Failed,08-02-2023,1844
5043,2043,UPI,Success,20-12-2023,1830
5044,2044,CARD,Success,22-01-2023,602
5045,2045,CARD,Failed,03-11-2023,1207
5046,2046,CASH,Success,22-01-2023,281
5047,2047,CASH,Failed,08-02-2023,886
5048,2048,CASH,Success,10-08-2023,948
5049,2049,CASH,Success,03-01-2023,1206
5050,2050,CASH,Failed,28-12-2023,783
5051,2051,CASH,Success,12-09-2023,1952
5052,2052,UPI,Success,15-09-2023,385
5053,2053,CASH,Failed,28-10-2023,374
5054,2054,CASH,Failed,26-06-2023,1931
5055,2055,CASH,Success,12-05-2023,1001
5056,2056,UPI,Success,24-12-2023,365
5057,2057,CARD,Success,08-04-2023,1975
5058,2058,CASH,Success,22-01-2023,1060
5059,2059,CARD,Success,02-02-2023,1081
5060,2060,CASH,Success,13-07-2023,523
5061,2061,CASH,Failed,22-01-2023,1853
5062,2062,CARD,Failed,17-10-2023,440
5063,2063,CASH,Success,23-04-2023,1398
5064,2064,CARD,Failed,24-10-2023,1404
