review_id,order_id,customer_id,rating,review_text,low_rating_flag,review_date
8001,3318,1229,2,Not Good,Low,2023-08-08
8002,2318,1106,4,Loved It,Good,2023-01-31
8003,2427,1983,4,Bad Experience,Good,2023-01-15
8004,2511,1455,5,Average,Good,2023-03-03
8005,3230,2497,2,Average,Low,2023-04-30
8006,2168,2276,5,Bad Experience,Good,2023-04-28
8007,3418,1617,2,Great Food,Low,2023-01-06
8008,3074,1994,5,Not Good,Good,2023-10-22
8009,2953,2406,3,Average,Good,2023-10-27
8010,2135,1415,4,Bad Experience,Good,2023-12-03
8011,2886,1925,5,Great Food,Good,2023-02-06
8012,2310,1637,4,Excellent,Good,2023-05-06
8013,3424,1108,2,Loved It,Low,2023-10-05
8014,3055,2489,1,Great Food,Low,2023-04-26
8015,2075,1940,3,Great Food,Good,2023-04-15
8016,3166,1125,5,Loved It,Good,2023-01-09
8017,2782,1631,2,Bad Experience,Low,2023-03-10
8018,2018,2208,4,Bad Experience,Good,2023-08-18
8019,2312,1674,2,Not Good,Low,2023-09-06
8020,2340,1616,5,Loved It,Good,2023-08-26
8021,3122,1853,1,Great Food,Low,2023-03-12
8022,2446,2224,2,Average,Low,2023-10-11
8023,3475,2068,1,Average,Low,2023-02-06
8024,2859,1564,2,Average,Low,2023-06-20
8025,2662,1425,2,Not Good,Low,2023-08-25
8026,2492,2330,4,Great Food,Good,2023-12-25
8027,2179,2111,1,Average,Low,2023-05-02
8028,2932,2398,1,Not Good,Low,2023-08-02
8029,2786,2045,2,Not Good,Low,2023-08-05
8030,3062,2082,4,Excellent,Good,2023-10-26
8031,2930,2078,3,Great Food,Good,2023-04-25
8032,2664,1575,5,Not Good,Good,2023-12-01
8033,3245,1030,2,Bad Experience,Low,2023-05-22
8034,2438,1899,4,Average,Good,2023-11-15
8035,3446,1718,5,Bad Experience,Good,2023-09-02
8036,2730,1117,2,Loved It,Low,2023-08-28
8037,3177,1560,2,Not Good,Low,2023-12-29
8038,2788,2353,1,Great Food,Low,2023-05-12
8039,2395,1146,5,Loved It,Good,2023-11-25
8040,2636,2396,5,Loved It,Good,2023-04-11
8041,2225,1214,5,Great Food,Good,2023-12-19
