restaurant_id,restaurant_name,city,opening_date,seating_capacity
301,Biryani Palace,Hyderabad,2023-08-28,22
302,Spice Hub,Pune,2023-09-12,76
303,Tandoor House,Delhi,2023-08-27,109
304,Urban Tadka,Bangalore,2023-06-18,142
305,Urban Tadka,Bangalore,2023-10-09,56
306,Spice Hub,Bangalore,2023-12-18,141
307,Biryani Palace,Bangalore,2023-01-07,48
308,Spice Hub,Pune,2023-11-15,62
309,Tandoor House,Bangalore,2023-11-13,91
310,Tandoor House,Bangalore,2023-07-11,117
311,Spice Hub,Mumbai,2023-07-24,34
312,Biryani Palace,Delhi,2023-05-30,77
313,Biryani Palace,Delhi,2023-04-15,73
314,Spice Hub,Bangalore,2023-02-09,68
315,Tandoor House,Mumbai,2023-05-27,144
316,Spice Hub,Mumbai,2023-12-24,139
317,Spice Hub,Hyderabad,2023-07-06,140
318,Urban Tadka,Hyderabad,2023-03-17,145
319,Tandoor House,Bangalore,2023-02-17,149
320,Urban Tadka,Mumbai,2023-01-09,120
321,Biryani Palace,Hyderabad,2023-11-29,138
322,Spice Hub,Mumbai,2023-02-05,123
323,Tandoor House,Bangalore,2023-03-27,35
324,Spice Hub,Hyderabad,2023-08-06,30
325,Urban Tadka,Delhi,2023-07-06,69
326,Spice Hub,Pune,2023-10-11,138
327,Urban Tadka,Mumbai,2023-10-25,33
328,Urban Tadka,Delhi,2023-06-09,134
329,Biryani Palace,Delhi,2023-11-26,150
330,Spice Hub,Mumbai,2023-09-02,42
331,Tandoor House,Hyderabad,2023-03-02,116
332,Urban Tadka,Delhi,2023-10-25,24
333,Spice Hub,Pune,2023-10-07,78
334,Spice Hub,Pune,2023-09-22,130
335,Urban Tadka,Hyderabad,2023-10-23,33
336,Urban Tadka,Mumbai,2023-07-06,150
337,Biryani Palace,Bangalore,2023-10-18,20
338,Biryani Palace,Mumbai,2023-05-15,45
339,Urban Tadka,Pune,2023-06-09,77
340,Tandoor House,Hyderabad,2023-10-06,80
341,Spice Hub,Hyderabad,2023-11-28,74
342,Urban Tadka,Delhi,2023-06-22,24
343,Biryani Palace,Bangalore,2023-04-14,77
344,Spice Hub,Delhi,2023-01-05,89
345,Tandoor House,Pune,2023-01-02,118
346,Biryani Palace,Bangalore,2023-07-17,131
347,Biryani Palace,Delhi,2023-06-02,143
348,Tandoor House,Mumbai,2023-08-06,139
349,Urban Tadka,Mumbai,2023-09-15,96
350,Tandoor House,Delhi,2023-03-17,42
351,Urban Tadka,Bangalore,2023-07-12,53
352,Tandoor House,Delhi,2023-06-19,147
353,Tandoor House,Hyderabad,2023-10-23,145
354,Biryani Palace,Mumbai,2023-05-09,42
355,Tandoor House,Hyderabad,2023-01-18,50
356,Biryani Palace,Hyderabad,2023-03-13,46
357,Spice Hub,Mumbai,2023-02-11,84
358,Biryani Palace,Bangalore,2023-12-19,124
359,Urban Tadka,Mumbai,2023-09-28,90
360,Spice Hub,Bangalore,2023-02-15,109
361,Spice Hub,Delhi,2023-07-19,27
362,Spice Hub,Delhi,2023-04-16,47
363,Urban Tadka,Pune,2023-11-12,90
364,Spice Hub,Delhi,2023-04-07,98
365,Biryani Palace,Pune,2023-09-27,82
366,Tandoor House,Pune,2023-02-08,137
367,Biryani Palace,Pune,2023-02-02,98
368,Spice Hub,Mumbai,2023-10-17,67
369,Biryani Palace,Bangalore,2023-02-20,77
370,Spice Hub,Mumbai,2023-11-08,38
371,Spice Hub,Pune,2023-08-07,28
372,Spice Hub,Delhi,2023-09-24,24
373,Tandoor House,Delhi,2023-07-03,31
374,Spice Hub,Delhi,2023-01-27,110
375,Spice Hub,Delhi,2023-05-01,52
376,Spice Hub,Delhi,2023-07-08,123
377,Spice Hub,Delhi,2023-06-22,97
378,Spice Hub,Pune,2023-01-28,43
379,Urban Tadka,Bangalore,2023-05-01,148
380,Urban Tadka,Delhi,2023-06-17,125
381,Biryani Palace,Bangalore,2023-10-24,127
382,Biryani Palace,Pune,2023-08-26,118
383,Tandoor House,Hyderabad,2023-09-12,67
384,Urban Tadka,Mumbai,2023-08-03,104
385,Urban Tadka,Bangalore,2023-04-25,28
386,Tandoor House,Mumbai,2023-04-05,24
387,Spice Hub,Delhi,2023-12-20,42
388,Urban Tadka,Bangalore,2023-09-04,122
389,Urban Tadka,Bangalore,2023-01-20,82
390,Tandoor House,Hyderabad,2023-02-20,140
391,Spice Hub,Hyderabad,2023-09-21,84
392,Spice Hub,Pune,2023-10-31,142
393,Tandoor House,Pune,2023-07-22,52
394,Urban Tadka,Bangalore,2023-05-19,28
395,Biryani Palace,Bangalore,2023-01-19,76
396,Spice Hub,Bangalore,2023-09-03,81
397,Tandoor House,Pune,2023-09-09,85
398,Spice Hub,Hyderabad,2023-04-26,113
399,Spice Hub,Mumbai,2023-05-15,65
400,Biryani Palace,Pune,2023-08-05,98
